Class name,Quarter Offered,Career,Grading,Class Number,Type,Instruction Mode,Credits,General education,Status,Available Seats,Enrollment Capacity,Enrolled,Wait List Capacity,Wait List Total,Description,Enrollment Requirements,Class Notes,Meeting Information,Associated Discussion Sections or Labs
Cultural Graduate Core Course,2025 Winter Quarter,Graduate,Student Option,31208,Seminar,In Person,5 units,,Open,7,10,3,0,0,"Introduces history, ethnography, and theory of cultural anthropology with emphasis on awareness of construction of anthropological canon and areas of conflict within it, leading up to contemporary debates on a variety of issues. Multiple-term course; students must enroll in both quarters to receive academic credit.",Enrollment is restricted to anthropology graduate students.,,"Days & Times: W 12:00PM-03:00PM, Room: Soc Sci 1 414, Instructor: Fernando,M.L., Dates: 01/06/25 - 03/14/25",
Methods in Biological Anthropology,2025 Winter Quarter,Graduate,Student Option,31096,Seminar,In Person,5 units,,Open,8,10,2,0,0,Deepens students' understanding of methods applied in biological anthropology research. (Formerly Methods in Physical Anthropology.) May be repeated for credit.,Enrollment is restricted to graduate students.,,"Days & Times: , Room: , Instructor: Fehren-Schmitz,L., Dates: 01/06/25 - 03/14/25",
Advanced Topics in Cultural Anthropology,2025 Winter Quarter,Graduate,Student Option,45952,Seminar,In Person,5 units,,Closed,0,0,6,0,0,Advanced topics in cultural anthropology. Current topics in anthropological theory and ethnography taught on a rotating basis by various faculty members. Precise focus of each seminar varies and will be announced by the department.,Enrollment is restricted to graduate students.,This is the dissertation writing workshop,"Days & Times: F 11:00AM-02:00PM, Room: Soc Sci 1 414, Instructor: Anderson,M.D., Dates: 01/06/25 - 03/14/25",
Medicine and Culture,2025 Winter Quarter,Graduate,Student Option,32613,Seminar,In Person,5 units,,Open,6,10,4,0,0,"Surveys medicine cross-culturally, with particular focus on power, tradition, and theories of embodiment. Students cannot receive credit for this course and ANTH 134.",Enrollment is restricted to graduate students.,,"Days & Times: Th 12:00PM-03:00PM, Room: Soc Sci 1 317, Instructor: Hauter,A.S., Dates: 01/06/25 - 03/14/25",
Graduate Colloquium,2025 Winter Quarter,Graduate,Student Option,46008,Seminar,In Person,2 units,,Open,28,30,2,0,0,Designed to offer an institutionalized mechanism for the presentation of research papers and teaching efforts by faculty and advanced graduate students. May be repeated for credit.,Enrollment is restricted to graduate students.,,"Days & Times: , Room: Soc Sci 1 261, Instructor: Fernando,M.L., Dates: 01/06/25 - 03/14/25",
Introduction to Applied Linguistics,2025 Winter Quarter,Undergraduate,Student Option,31097,Lecture,In Person,5 units,PE-H,Open,2,36,34,0,0,"Introduces the field of applied linguistics, learning about language acquisition, use, and teaching in multilingual contexts from multiple disciplinary perspectives. Also, introduces research models that examine psycholinguistic, sociolinguistic, and/or educational aspects of multilingualism..",,,"Days & Times: TuTh 03:20PM-04:55PM, Room: Cowell Acad 113, Instructor: Hoshi,S., Dates: 01/06/25 - 03/14/25",
Second-Language Acquisition,2025 Winter Quarter,Undergraduate,Student Option,31099,Lecture,In Person,5 units,,Open,9,25,16,0,0,"Introduces the field of second-language acquisition. Topics include contexts of acquisition, the impact of individual differences, and basic methods of data collection and analysis.",Prerequisite(s): APLX 80 or LING 50.,,"Days & Times: TuTh 01:30PM-03:05PM, Room: Steven Acad 151, Instructor: Donaldson,B.A., Dates: 01/06/25 - 03/14/25",
Bilingualism,2025 Winter Quarter,Undergraduate,Student Option,32572,Lecture,In Person,5 units,,Open,3,25,22,0,0,"An overview of bilingualism. Focuses on bilingualism as an individual phenomenon (i.e., how two languages develop and are represented in the minds of individual speakers), and as a social one (i.e., how do bilinguals interact in a community and how does this context of language contact shape their linguistic identity).",Prerequisite(s): APLX 80 or LING 50.,,"Days & Times: MW 05:20PM-06:55PM, Room: Humanities 1 110, Instructor: Amengual,M., Dates: 01/06/25 - 03/14/25",
Second Language Assessment,2025 Winter Quarter,Undergraduate,Student Option,32574,Seminar,In Person,5 units,,Open,3,25,22,0,0,"Introduces the fundamentals of second-language testing by presenting theories, key concepts, and practical applications in language assessment. Throughout the course, students develop their own assessment portfolios, creating materials they can use in their post-B.A. career.",Prerequisite(s): Previous or concurrent enrollment in APLX 135.,,"Days & Times: TuTh 11:40AM-01:15PM, Room: Soc Sci 2 159, Instructor: Miller,D.P., Dates: 01/06/25 - 03/14/25",
First-Year Arabic,2025 Winter Quarter,Undergraduate,Student Option,31101,Lecture,In Person,5 units,,Open,13,25,12,0,0,"Introduction to Arabic and Arabic-speaking culture with practice in all four language skills: listening, speaking, reading, and writing. Intended for students with no previous study of Arabic as well as heritage speakers.",ARBC 1 or equivalent proficiency.,,"Days & Times: TuTh 09:50AM-11:25AM, Room: Soc Sci 2 165, Instructor: Berrahmoun,A., Dates: 01/06/25 - 03/14/25",
Second-Year Arabic,2025 Winter Quarter,Undergraduate,Student Option,31102,Lecture,In Person,5 units,CC,Open,17,25,8,0,0,"Continuation of Arabic language and Arabic-speaking culture courses with practice in all four language skills: listening, speaking, reading, and writing. Intended for students who have successfully completed Arabic 4 or possess equivalent proficiency.",Prerequisite(s): ARBC 4 or comparable proficiency.,,"Days & Times: MWF 10:40AM-11:45AM, Room: Soc Sci 2 167, Instructor: Berrahmoun,A., Dates: 01/06/25 - 03/14/25",
3D Foundation,2025 Winter Quarter,Undergraduate,Student Option,31008,Lecture,In Person,5 units,IM,Closed,0,0,245,0,0,"Introduces students to the fundamental principles of three-dimensional art and design through basic concepts, techniques, and technical practice. Focuses on three-dimensional art and the design fundamentals of sculpture, public art, architecture, and the industrial-design process and production. This course is a hybrid studio/lecture.",Enrollment is restricted to art majors during first-pass enrollment; restrictions lifted after first pass.,Enroll in lecture and secondary studio section. Enrollment restricted to declared and proposed Art majors during first pass; enrollment restrictions lifted for second pass.,"Days & Times: TuTh 03:20PM-04:55PM, Room: ClassroomUnit 002, Instructor: Palmer,L., Dates: 01/06/25 - 03/14/25","#31441 STS 01A, M 10:00AM-11:45AM, Mulenga,A.S., Loc: Elena Baskin Arts A101, Enrl: 24 / 25, Wait: 0 / 0, Open; #31440 STS 01B, W 09:00AM-10:45AM, Lim,C., Loc: Elena Baskin Arts A101, Enrl: 26 / 26, Wait: 0 / 0, Closed; #31439 STS 01C, W 12:00PM-01:45PM, Lim,C., Loc: Elena Baskin Arts A101, Enrl: 25 / 25, Wait: 0 / 0, Closed; #31438 STS 01D, M 02:00PM-03:45PM, Kantor,B.J., Loc: Elena Baskin Arts A101, Enrl: 24 / 25, Wait: 0 / 0, Open; #31437 STS 01E, W 04:00PM-05:45PM, Vazquez,A.M., Loc: Elena Baskin Arts A101, Enrl: 26 / 25, Wait: 0 / 0, Closed; #31436 STS 01F, Th 08:00AM-09:45AM, Vazquez,A.M., Loc: Elena Baskin Arts A101, Enrl: 23 / 25, Wait: 0 / 0, Open; #31435 STS 01G, Th 10:00AM-11:45AM, Mulenga,A.S., Loc: Elena Baskin Arts A101, Enrl: 25 / 25, Wait: 0 / 0, Closed; #31434 STS 01H, M 04:00PM-05:45PM, Kantor,B.J., Loc: Elena Baskin Arts A101, Enrl: 24 / 25, Wait: 0 / 0, Open; #31433 STS 01I, Th 06:00PM-07:45PM, Rai,T., Loc: Elena Baskin Arts A101, Enrl: 23 / 25, Wait: 0 / 0, Open; #31432 STS 01J, Tu 12:00PM-01:45PM, Rai,T., Loc: Elena Baskin Arts A101, Enrl: 25 / 25, Wait: 0 / 0, Closed"
Introduction to Sculpture and Public Art,2025 Winter Quarter,Undergraduate,Student Option,30985,Studio,In Person,5 units,PR-C,Closed,0,25,26,0,0,"Introduces sculpture and art in public space. The course is composed of lectures, readings, discussions, studio assignments, and demonstrations.","Prerequisite(s): two courses from ART 10D, ART 10E, ART 10F. Enrollment is restricted to proposed art and art majors.",,"Days & Times: MWF 02:40PM-05:05PM, Room: Elena Baskin Arts P108, Instructor: Monaghan,S.M., Dates: 01/06/25 - 03/14/25",
Introduction to Drawing and Painting,2025 Winter Quarter,Undergraduate,Student Option,30336,Studio,In Person,5 units,PR-C,Closed,0,25,26,0,0,"Introduces the practices of drawing and painting in combination with the formal vocabulary of the visual arts. A discussion of values, form, color, and figure/ground relationships enters into each class.","Prerequisite(s): two courses from ART 10D, ART 10E, ART 10F. Enrollment is restricted to proposed art and art majors.",,"Days & Times: TuThSa 11:40AM-02:05PM, Room: Elena Baskin Arts M101, Instructor: Whipple,G., Dates: 01/06/25 - 03/14/25",
Introduction to New Media and Digital Artmaking,2025 Winter Quarter,Undergraduate,Student Option,30943,Studio,Asynchronous Online,5 units,PR-C,Closed,0,25,27,0,0,"Introduces digital and new media art practice. Explores the use of the computer as tool and medium. Provides a hands-on introduction to the fundamentals of graphics; digital-image acquisition and manipulation; video; web design; and computer programming. Lectures, readings, and discussions examine the history of technology artwork and technology's relationship to contemporary culture.","Prerequisite(s): two courses from ART 10D, ART 10E, ART 10F. Enrollment is restricted to proposed art and art majors.",,"Days & Times: , Room: Online, Instructor: Santos,D.R., Dates: 01/06/25 - 03/14/25",
Digital Tools for Contemporary Art Practice,2025 Winter Quarter,Undergraduate,Student Option,30940,Lecture,Asynchronous Online,5 units,PE-T,Open,8,375,367,0,0,"Introduction to the digital tools and mediums available to contemporary art practices. Tools are explored from a historical and theoretical context and from a technical perspective through hands-on tutorials. A variety of artworks that utilize digital mediums are also examined. Weekly projects centered around these tools are completed and are the focus of peer discussions and reviews. The course covers photo and vector editors, sound and video editing, and basic 3D modeling and animation.",,Enroll in lecture and associated discussion section. This class will be offered entirely online with asynchronous instruction for lecture and discussion sections.,"Days & Times: , Room: Online, Instructor: Parker,J.A., Dates: 01/06/25 - 03/14/25","#30939 DIS 01A, , Dolgov,I., Loc: Online, Enrl: 74 / 75, Wait: 0 / 0, Open; #30938 DIS 01B, , Sarmiento,N., Loc: Online, Enrl: 75 / 75, Wait: 0 / 0, Closed; #30932 DIS 01C, , Palacios,J.A., Loc: Online, Enrl: 74 / 75, Wait: 0 / 0, Open; #30933 DIS 01D, , Rappa,F.S., Loc: Online, Enrl: 73 / 75, Wait: 0 / 0, Open; #30934 DIS 01E, , Staff, Loc: Online, Enrl: 71 / 75, Wait: 0 / 0, Open; #30935 DIS 01F, Cancelled Cancelled, Staff, Loc:, Enrl: 0 / 0, Wait: 0 / 0, Closed; #30936 DIS 01G, Cancelled Cancelled, Staff, Loc:, Enrl: 0 / 0, Wait: 0 / 0, Closed; #30937 DIS 01H, Cancelled Cancelled, Staff, Loc:, Enrl: 0 / 0, Wait: 0 / 0, Closed"
3D Modeling and Animation,2025 Winter Quarter,Undergraduate,Student Option,31013,Studio,In Person,5 units,,Open,1,25,24,0,0,"Independent and collaborative creative projects using advanced computer methods. May include networking projects, virtual representations, interactive multimedia, installation, performance, 3D modeling and animation, or robotics. Emphasis on advanced critical and experimental approaches to computers as a unique art medium, and contemporary research issues. Students are required to enroll in scheduled lab section. May be repeated for credit.","Prerequisite(s): Three courses from: ART 15, ART 20G, ART 20H, ART 20I, ART 20J, ART 20K, ART 20L, ART 26; or by permission of instructor. Enrollment is restricted to art majors.",,"Days & Times: TuThSa 02:25PM-04:50PM, Room: Elena Baskin Arts E102, Instructor: Modes,W., Dates: 01/06/25 - 03/14/25",
"Art, Design, and Social Practice",2025 Winter Quarter,Undergraduate,Student Option,31006,Studio,In Person,5 units,,Open,18,25,7,0,0,"Studio-based course teaching strategies for social change, activism, and organizing using social design tools. Students gain experience developing design pieces and artworks to communicate their position on issues affecting their lived experiences and community struggles. Students develop artworks and content using social design practices, tools, systems, and strategies. The final design piece/artwork can utilize graphic design, digital platforms and publications, maps and spatial representation, exhibition design, 3D models for physical spaces, public interventions, video, and digital media, among other possibilities, including analogical forms of gathering people and manifesting social positions. (Formerly Activate Media! New Media Art Activism and Organizing.) May be repeated for credit.","Prerequisite(s): Three courses from: ART 15, ART 20G, ART 20H, ART 20I, ART 20J, ART 20K, ART 20L, ART 26; or by permission of instructor. Enrollment is restricted to art majors.",,"Days & Times: MWF 02:40PM-05:05PM, Room: Elena Baskin Arts E102, Instructor: Bueno,C., Dates: 01/06/25 - 03/14/25",
Special Topics in Media Art,2025 Winter Quarter,Undergraduate,Student Option,45831,Studio,In Person,5 units,,Open,18,25,7,0,0,"Focuses on a wide range of media and time-based artmaking, which can include video art, interactive media, animation, VR/XR/AR, video installation, design and other 4D production and research. Special topics as announced. May be repeated for credit.","Prerequisite(s): Three courses from: ART 15, ART 20G, ART 20H, ART 20I, ART 20J, ART 20K, or ART 20L. Enrollment is restricted to art majors.","This course, What Freedom is to Me, offers an opportunity to study with established artist and Distinguished Professor Sir Isaac Julien and will offer an insight into production and the critical reception of moving image, video art, and installation work by examining historical and contemporary art practice from the 1960s to the present, focusing on artists and curators working in the field of film art.","Days & Times: TuThSa 11:40AM-02:05PM, Room: Elena Baskin Arts E102, Instructor: Julien,I., Dates: 01/06/25 - 03/14/25",
Figure Drawing,2025 Winter Quarter,Undergraduate,Student Option,31005,Studio,In Person,5 units,,Closed,0,25,25,0,0,Focuses on drawing from the human figure and exploring the figure for the purpose of personal expression and social communication. Intended for the intermediate/advanced drawing student. May be repeated for credit.,"Prerequisite(s): ART 15 or ART 20L or ART 20J; and two from ART 20G, ART 20H, ART 20I, ART 20K; or by permission of instructor. Enrollment is restricted to art majors.",,"Days & Times: MWF 09:20AM-11:45AM, Room: Elena Baskin Arts L101, Instructor: McEwen,T., Dates: 01/06/25 - 03/14/25",
Mixed Media Works on Paper,2025 Winter Quarter,Undergraduate,Student Option,31004,Studio,In Person,5 units,,Open,12,25,13,0,0,"This course stresses alternative drawing processes, techniques, and materials. Intended for the intermediate or advanced student. May be repeated for credit.","Prerequisite(s): ART 15 or ART 20L or ART 20J; and two from ART 20G, ART 20H, ART 20I, ART 20K; or by permission of instructor. Enrollment is restricted to art majors.",,"Days & Times: TuThSa 09:00AM-11:25AM, Room: Elena Baskin Arts L101, Instructor: Sanford,S., Dates: 01/06/25 - 03/14/25",
Environmental Art Studio,2025 Winter Quarter,Undergraduate,Student Option,30956,Studio,In Person,5 units,,Open,6,25,19,0,0,"Introduces students to environmental art and design through basic concepts, techniques, and studio practice. May be repeated for credit.",Enrollment is restricted to juniors and seniors.,,"Days & Times: MWF 12:00PM-02:25PM, Room: Elena Baskin Arts H101, Instructor: Shanken,E.A., Dates: 01/06/25 - 03/14/25",
Digital Painting,2025 Winter Quarter,Undergraduate,Student Option,30927,Studio,Asynchronous Online,5 units,PR-C,Closed,0,100,100,0,0,"Gives students a comprehensive understanding of the digital painting, from basic techniques, to new media art and industry application, to how these programs operate. Studies and assignments develop and expand skills of digital paint application. Students build a cumulative digital portfolio of all of the studies and assignments completed throughout the course.May be repeated for credit.",,,"Days & Times: , Room: Online, Instructor: Deck,K.M., Dates: 01/06/25 - 03/14/25",
